ha	UH	ha
horse	NN	horse
.	SENT	.
mm	NN	mm
.	SENT	.
mm	NN	mm
.	SENT	.
piggie	NN	piggie
.	SENT	.
horsie	NN	horsie
.	SENT	.
down	RB	down
.	SENT	.
how	WRB	how
big	JJ	big
is	VBZ	be
.	SENT	.
pretty	RB	pretty
big	JJ	big
.	SENT	.
bit	NN	bite
but	CC	but
.	SENT	.
book	NN	book
.	SENT	.
baby	NN	baby
.	SENT	.
fish	NN	fish
.	SENT	.
birdie	NN	birdie
.	SENT	.
birdie	NN	birdie
!	SENT	!
eye	NN	eye
.	SENT	.
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
payn	NN	payn
.	SENT	.
shoe	NN	shoe
.	SENT	.
shoe	NN	shoe
.	SENT	.
shoe	NN	shoe
.	SENT	.
shingle	NN	shingle
.	SENT	.
chic	JJ	chic
.	SENT	.
Daddy	NP	daddy
play	VV	play
.	SENT	.
see	VV	see
Mommy	NP	mommy
.	SENT	.
moon	NN	moon
.	SENT	.
get	VV	get
down	RB	down
.	SENT	.
ah	UH	ah
.	SENT	.
ball	NN	ball
.	SENT	.
a	DT	a
ball	NN	ball
.	SENT	.
diaper	NN	diaper
.	SENT	.
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
Goldie	NP	goldie
.	SENT	.
Goldie	NP	goldie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
Mommy	NP	mommy
.	SENT	.
there	EX	there
you	PP	you
boogie	NN	boogie
.	SENT	.
box	NN	box
.	SENT	.
fits	VVZ	fit
.	SENT	.
up	IN	up
.	SENT	.
blue	JJ	blue
.	SENT	.
doggie	JJ	doggie
.	SENT	.
piggie	NN	piggie
.	SENT	.
kitty	NN	kitty
.	SENT	.
cookie	NN	cookie
.	SENT	.
money	NN	money
.	SENT	.
money	NN	money
.	SENT	.
it	PP	it
's	VVZ	's
money	NN	money
.	SENT	.
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
read	VV	read
a	DT	a
book	NN	book
.	SENT	.
read	VV	read
a	DT	a
book	NN	book
.	SENT	.
Daddy	NP	daddy
.	SENT	.
,	,	,
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
monkey	NN	monkey
.	SENT	.
bear	VV	bear
.	SENT	.
night	NN	night
night	NN	night
.	SENT	.
Mommy	NP	mommy
.	SENT	.
baby	NN	baby
.	SENT	.
Mommy	NP	mommy
.	SENT	.
night	NN	night
night	NN	night
.	SENT	.
he	PP	he
a	DT	a
pottie	NN	pottie
.	SENT	.
oh	UH	oh
.	SENT	.
pillow	NN	pillow
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
doggie	JJ	doggie
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
doctor	NN	doctor
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
broken	VVN	break
.	SENT	.
broken	VVN	break
.	SENT	.
say	VVP	say
yeah	UH	yeah
.	SENT	.
broken	VVN	break
.	SENT	.
bacon	NN	bacon
.	SENT	.
purple	JJ	purple
.	SENT	.
you	PP	you
.	SENT	.
yeah	UH	yeah
.	SENT	.
mhm	NN	mhm
.	SENT	.
hmm	NN	hmm
.	SENT	.
Mommy	NP	mommy
.	SENT	.
how	WRB	how
.	SENT	.
Goldie	NP	goldie
.	SENT	.
cam	NN	cam
.	SENT	.
paper	NN	paper
.	SENT	.
book	NN	book
.	SENT	.
book	NN	book
.	SENT	.
book	NN	book
.	SENT	.
book	NN	book
.	SENT	.
book	NN	book
.	SENT	.
book	NN	book
.	SENT	.
book	NN	book
.	SENT	.
apple	NN	apple
.	SENT	.
meow	NN	meow
.	SENT	.
wagon	NN	wagon
.	SENT	.
vase	NN	vase
.	SENT	.
windmill	NN	windmill
.	SENT	.
windmill	NN	windmill
.	SENT	.
rabbit	NN	rabbit
.	SENT	.
kitty	NN	kitty
.	SENT	.
tweet	NN	tweet
tweet	NN	tweet
.	SENT	.
nut	NN	nut
.	SENT	.
book	NN	book
.	SENT	.
a	DT	a
book	NN	book
.	SENT	.
apple	NN	apple
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
apple	NN	apple
.	SENT	.
boo	VV	boo
.	SENT	.
apple	NN	apple
.	SENT	.
apple	NN	apple
.	SENT	.
apple	NN	apple
.	SENT	.
ba	NN	ba
.	SENT	.
eat	VV	eat
.	SENT	.
boo	VV	boo
.	SENT	.
be	VB	be
.	SENT	.
book	NN	book
it	PP	it
.	SENT	.
birdie	NN	birdie
.	SENT	.
rabbit	NN	rabbit
.	SENT	.
go	VV	go
wee	JJ	wee
.	SENT	.
doggie	JJ	doggie
.	SENT	.
ill	JJ	ill
.	SENT	.
go	VV	go
wee	JJ	wee
.	SENT	.
ca	MD	ca
.	SENT	.
ca	MD	ca
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
birdie	NN	birdie
.	SENT	.
ow	VV	ow
.	SENT	.
um	FW	um
.	SENT	.
birdie	NN	birdie
.	SENT	.
down	RB	down
.	SENT	.
me	PP	me
down	RB	down
.	SENT	.
me	PP	me
down	RB	down
.	SENT	.
lie	VV	lie
me	PP	me
down	RB	down
.	SENT	.
me	PP	me
down	RB	down
.	SENT	.
ah	UH	ah
.	SENT	.
up	IN	up
.	SENT	.
ah	UH	ah
down	RB	down
.	SENT	.
duck	NN	duck
.	SENT	.
duck	NN	duck
.	SENT	.
duck	NN	duck
.	SENT	.
duck	NN	duck
.	SENT	.
duck	NN	duck
.	SENT	.
duck	NN	duck
.	SENT	.
quack	NN	quack
.	SENT	.
quack	NN	quack
.	SENT	.
duck	NN	duck
.	SENT	.
duck	NN	duck
.	SENT	.
baby	NN	baby
.	SENT	.
kitty	NN	kitty
.	SENT	.
kitty	NN	kitty
.	SENT	.
kitty	NN	kitty
.	SENT	.
birdie	NN	birdie
.	SENT	.
birdie	NN	birdie
.	SENT	.
boot	NN	boot
.	SENT	.
boot	NN	boot
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
,	,	,
boot	NN	boot
.	SENT	.
boot	NN	boot
.	SENT	.
bun	NN	bun
.	SENT	.
ow	VV	ow
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
kitty	NN	kitty
.	SENT	.
gaga	NN	gaga
.	SENT	.
gaga	NN	gaga
,	,	,
bim	NN	bim
.	SENT	.
bam	UH	bam
.	SENT	.
tweet	NN	tweet
tweet	NN	tweet
.	SENT	.
birdie	NN	birdie
.	SENT	.
tweet	NN	tweet
tweet	NN	tweet
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
puppy	NN	puppy
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
again	RB	again
.	SENT	.
again	RB	again
.	SENT	.
again	RB	again
.	SENT	.
broken	VVN	break
.	SENT	.
broken	VVN	break
.	SENT	.
broken	VVN	break
.	SENT	.
be	VB	be
bit	VVN	bite
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
bun	NN	bun
.	SENT	.
bun	NN	bun
.	SENT	.
petty	JJ	petty
.	SENT	.
peggie	NN	peggie
,	,	,
ban	NN	ban
.	SENT	.
hug	NN	hug
.	SENT	.
hug	NN	hug
.	SENT	.
baby	NN	baby
.	SENT	.
hug	NN	hug
.	SENT	.
pillow	NN	pillow
.	SENT	.
pillow	NN	pillow
.	SENT	.
pillow	NN	pillow
.	SENT	.
pillow	NN	pillow
.	SENT	.
again	RB	again
.	SENT	.
again	RB	again
.	SENT	.
blanket	NN	blanket
.	SENT	.
broken	VVN	break
.	SENT	.
okay	JJ	okay
.	SENT	.
broken	VVN	break
.	SENT	.
baby	NN	baby
.	SENT	.
pottie	NN	pottie
.	SENT	.
pen	NN	pen
.	SENT	.
no	DT	no
.	SENT	.
get	VV	get
down	RB	down
.	SENT	.
peek	NN	peek
it	PP	it
.	SENT	.
gogo	NN	gogo
.	SENT	.
gogo	NN	gogo
.	SENT	.
gogo	NN	gogo
.	SENT	.
gogo	NN	gogo
.	SENT	.
baby	NN	baby
.	SENT	.
no	DT	no
.	SENT	.
pen	NN	pen
.	SENT	.
key	JJ	key
.	SENT	.
key	JJ	key
,	,	,
.	SENT	.
Naomi	NP	naomi
.	SENT	.
Naomi	NP	naomi
.	SENT	.
hi	VV	hi
.	SENT	.
hi	VV	hi
.	SENT	.
how	WRB	how
.	SENT	.
put	VV	put
down	RB	down
.	SENT	.
put	VV	put
down	RB	down
.	SENT	.
down	RB	down
.	SENT	.
down	RB	down
.	SENT	.
down	RB	down
.	SENT	.
down	RB	down
.	SENT	.
fell	VVD	fall
down	RB	down
.	SENT	.
fall	NN	fall
down	RB	down
.	SENT	.
down	RB	down
.	SENT	.
pen	NN	pen
.	SENT	.
up	IN	up
pen	NN	pen
.	SENT	.
fish	NN	fish
.	SENT	.
piggie	NN	piggie
.	SENT	.
pretty	RB	pretty
.	SENT	.
Mammy	NP	mammy
.	SENT	.
Nomi	NP	nomi
.	SENT	.
car	NN	car
.	SENT	.
duck	NN	duck
.	SENT	.
tweet	NN	tweet
tweet	NN	tweet
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
beep	NN	beep
.	SENT	.
no	DT	no
.	SENT	.
Nomi	NP	nomi
.	SENT	.
no	DT	no
.	SENT	.
here	RB	here
.	SENT	.
no	DT	no
.	SENT	.
birdie	NN	birdie
.	SENT	.
look	VV	look
.	SENT	.
hit	VVD	hit
.	SENT	.
meow	NN	meow
.	SENT	.
meow	NN	meow
.	SENT	.
a	DT	a
brush	NN	brush
.	SENT	.
down	RB	down
.	SENT	.
sit	VV	sit
down	RB	down
.	SENT	.
byebye	NN	byebye
.	SENT	.
eye	NN	eye
.	SENT	.
apple	NN	apple
.	SENT	.
flower	NN	flower
.	SENT	.
barking	VVG	bark
.	SENT	.
boogan	NN	boogan
.	SENT	.
begin	VV	begin
.	SENT	.
baby	NN	baby
.	SENT	.
broken	VVN	break
.	SENT	.
broken	VVN	break
.	SENT	.
tingle	NN	tingle
.	SENT	.
pocket	NN	pocket
.	SENT	.
pocket	NN	pocket
.	SENT	.
pen	NN	pen
.	SENT	.
Mikey	NP	mikey
.	SENT	.
monkey	NN	monkey
.	SENT	.
monkey	NN	monkey
.	SENT	.
monkey	NN	monkey
.	SENT	.
monkey	NN	monkey
.	SENT	.
monkey	NN	monkey
.	SENT	.
icky	JJ	icky
.	SENT	.
diaper	NN	diaper
.	SENT	.
boogin	NN	boogin
.	SENT	.
backin	NN	backin
.	SENT	.
bacon	NN	bacon
.	SENT	.
diaper	NN	diaper
.	SENT	.
toy	NN	toy
.	SENT	.
toy	NN	toy
.	SENT	.
chin	NN	chin
.	SENT	.
eh	UH	eh
.	SENT	.
ear	NN	ear
eh	UH	eh
.	SENT	.
a	DT	a
bunny	NN	bunny
.	SENT	.
napkin	NN	napkin
.	SENT	.
a	DT	a
bunny	NN	bunny
.	SENT	.
bunny	NN	bunny
.	SENT	.
bunny	NN	bunny
.	SENT	.
slipper	NN	slipper
.	SENT	.
pretty	RB	pretty
.	SENT	.
slipper	NN	slipper
.	SENT	.
monkey	NN	monkey
.	SENT	.
ha	UH	ha
.	SENT	.
blanket	NN	blanket
.	SENT	.
um	FW	um
.	SENT	.
blanket	NN	blanket
.	SENT	.
broken	VVN	break
.	SENT	.
bacon	NN	bacon
.	SENT	.
it	PP	it
off	IN	off
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
not	RB	not
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
how	WRB	how
.	SENT	.
how	WRB	how
.	SENT	.
night	NN	night
night	NN	night
.	SENT	.
night	NN	night
night	NN	night
.	SENT	.
Daddy	NP	daddy
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
,	,	,
wawa	NN	wawa
.	SENT	.
wawa	NN	wawa
.	SENT	.
wawa	NN	wawa
juice	NN	juice
.	SENT	.
Momma	NP	momma
.	SENT	.
juice	NN	juice
.	SENT	.
bank	NN	bank
.	SENT	.
juice	NN	juice
.	SENT	.
juice	NN	juice
.	SENT	.
juice	NN	juice
.	SENT	.
juice	NN	juice
.	SENT	.
juice	NN	juice
.	SENT	.
ow	VV	ow
.	SENT	.
Daddy	NP	daddy
.	SENT	.
no	DT	no
.	SENT	.
baby	NN	baby
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
juice	NN	juice
.	SENT	.
juice	NN	juice
.	SENT	.
all	DT	all
gone	VVN	go
.	SENT	.
open	JJ	open
.	SENT	.
eyes	NNS	eye
.	SENT	.
Mommy	NP	mommy
.	SENT	.
juice	NN	juice
.	SENT	.
Mommy	NP	mommy
.	SENT	.
get	VV	get
down	RB	down
.	SENT	.
,	,	,
Wendy	NP	wendy
.	SENT	.
Wendy	NP	wendy
.	SENT	.
bad	JJ	bad
girl	NN	girl
.	SENT	.
kitty	NN	kitty
.	SENT	.
no	DT	no
.	SENT	.
birdie	NN	birdie
.	SENT	.
birdie	NN	birdie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
ball	NN	ball
.	SENT	.
pigeon	NN	pigeon
.	SENT	.
no	DT	no
.	SENT	.
pencil	NN	pencil
.	SENT	.
paper	NN	paper
.	SENT	.
kitty	NN	kitty
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
nap	NN	nap
.	SENT	.
kin	NN	kin
.	SENT	.
napkin	NN	napkin
.	SENT	.
pencil	NN	pencil
.	SENT	.
no	DT	no
.	SENT	.
juice	NN	juice
.	SENT	.
pencil	NN	pencil
.	SENT	.
napkin	NN	napkin
.	SENT	.
piggie	NN	piggie
.	SENT	.
gaga	NN	gaga
.	SENT	.
gaga	NN	gaga
.	SENT	.
orange	JJ	orange
.	SENT	.
orange	JJ	orange
.	SENT	.
piggie	NN	piggie
.	SENT	.
orange	JJ	orange
.	SENT	.
hot	JJ	hot
.	SENT	.
hot	JJ	hot
.	SENT	.
hot	JJ	hot
.	SENT	.
big	JJ	big
.	SENT	.
mouth	NN	mouth
.	SENT	.
big	JJ	big
.	SENT	.
apple	NN	apple
.	SENT	.
apple	NN	apple
book	NN	book
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
duck	NN	duck
.	SENT	.
doing	VVG	do
.	SENT	.
doing	VVG	do
.	SENT	.
feeding	VVG	feed
.	SENT	.
feeding	VVG	feed
.	SENT	.
squeak	NN	squeak
.	SENT	.
squeak	NN	squeak
.	SENT	.
eh	UH	eh
coffee	NN	coffee
.	SENT	.
tan	JJ	tan
.	SENT	.
sit	VV	sit
down	RB	down
.	SENT	.
sit	VV	sit
down	RB	down
.	SENT	.
I	PP	i
get	VVP	get
off	IN	off
.	SENT	.
I	PP	i
get	VVP	get
off	IN	off
.	SENT	.
I	PP	i
get	VVP	get
off	IN	off
.	SENT	.
throw	NN	throw
off	IN	off
.	SENT	.
throw	NN	throw
.	SENT	.
throw	VV	throw
off	IN	off
.	SENT	.
baby	NN	baby
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
please	UH	please
.	SENT	.
bunny	NN	bunny
.	SENT	.
er	UH	er
kick	NN	kick
.	SENT	.
er	UH	er
kick	NN	kick
.	SENT	.
er	UH	er
kick	NN	kick
.	SENT	.
push	VV	push
.	SENT	.
push	VV	push
.	SENT	.
lamb	NN	lamb
.	SENT	.
lamb	NN	lamb
.	SENT	.
dadee	NN	dadee
.	SENT	.
dadee	NN	dadee
.	SENT	.
dadee	NN	dadee
.	SENT	.
dadee	NN	dadee
.	SENT	.
want	VVP	want
.	SENT	.
bear	VV	bear
.	SENT	.
lamb	NN	lamb
.	SENT	.
jump	NN	jump
.	SENT	.
jumping	VVG	jump
.	SENT	.
jumping	VVG	jump
.	SENT	.
jumping	VVG	jump
.	SENT	.
ah	UH	ah
jumping	VVG	jump
.	SENT	.
jumping	VVG	jump
.	SENT	.
jump	NN	jump
.	SENT	.
ah	UH	ah
jumping	VVG	jump
.	SENT	.
jump	NN	jump
.	SENT	.
ah	UH	ah
jumping	VVG	jump
.	SENT	.
jump	NN	jump
.	SENT	.
ah	UH	ah
jumping	VVG	jump
.	SENT	.
jump	NN	jump
.	SENT	.
ah	UH	ah
jumping	VVG	jump
.	SENT	.
hug	NN	hug
.	SENT	.
dadee	NN	dadee
.	SENT	.
dadee	NN	dadee
.	SENT	.
there	RB	there
.	SENT	.
flower	NN	flower
.	SENT	.
skunk	NN	skunk
.	SENT	.
broken	VVN	break
.	SENT	.
broken	VVN	break
.	SENT	.
broken	VVN	break
.	SENT	.
pear	NN	pear
.	SENT	.
radio	NN	radio
.	SENT	.
a	DT	a
dup	NN	dup
.	SENT	.
a	DT	a
dup	NN	dup
.	SENT	.
dup	NN	dup
.	SENT	.
broken	VVN	break
.	SENT	.
own	JJ	own
uch	NN	uch
.	SENT	.
own	JJ	own
uch	NN	uch
.	SENT	.
own	JJ	own
uch	NN	uch
.	SENT	.
own	JJ	own
uch	NN	uch
.	SENT	.
own	JJ	own
uch	NN	uch
.	SENT	.
own	JJ	own
uch	NN	uch
.	SENT	.
peekaboo	NN	peekaboo
.	SENT	.
book	NN	book
.	SENT	.
no	DT	no
.	SENT	.
horsie	NN	horsie
.	SENT	.
cards	NNS	card
.	SENT	.
cards	NNS	card
.	SENT	.
chickie	NN	chickie
.	SENT	.
kitty	NN	kitty
.	SENT	.
bear	VV	bear
.	SENT	.
lamb	NN	lamb
.	SENT	.
bear	VV	bear
.	SENT	.
doggie	JJ	doggie
.	SENT	.
pear	NN	pear
.	SENT	.
pear	NN	pear
.	SENT	.
pear	NN	pear
.	SENT	.
eh	UH	eh
toys	NNS	toy
.	SENT	.
car	NN	car
.	SENT	.
night	NN	night
night	NN	night
.	SENT	.
fall	NN	fall
down	RB	down
.	SENT	.
fall	NN	fall
down	RB	down
.	SENT	.
fall	NN	fall
down	RB	down
.	SENT	.
fall	NN	fall
down	RB	down
.	SENT	.
car	NN	car
.	SENT	.
car	NN	car
.	SENT	.
co	VV	co
watch	NN	watch
.	SENT	.
co	VV	co
watch	NN	watch
.	SENT	.
co	VV	co
watch	NN	watch
.	SENT	.
co	VV	co
watch	NN	watch
.	SENT	.
co	VV	co
watch	NN	watch
.	SENT	.
dadee	NN	dadee
.	SENT	.
blankem	NN	blankem
.	SENT	.
wash	NN	wash
.	SENT	.
cold	JJ	cold
.	SENT	.
again	RB	again
.	SENT	.
again	RB	again
.	SENT	.
again	RB	again
.	SENT	.
again	RB	again
.	SENT	.
again	RB	again
.	SENT	.
again	RB	again
.	SENT	.
damp	VV	damp
.	SENT	.
damp	VV	damp
.	SENT	.
damp	VV	damp
.	SENT	.
damp	VV	damp
.	SENT	.
damp	VV	damp
.	SENT	.
damp	VV	damp
.	SENT	.
damp	VV	damp
.	SENT	.
cold	JJ	cold
.	SENT	.
cold	JJ	cold
.	SENT	.
cold	JJ	cold
.	SENT	.
cold	JJ	cold
.	SENT	.
name	NN	name
.	SENT	.
Nomi	NP	nomi
.	SENT	.
name	NN	name
.	SENT	.
name	NN	name
.	SENT	.
Nomi	NP	nomi
.	SENT	.
name	NN	name
.	SENT	.
name	NN	name
.	SENT	.
name	NN	name
.	SENT	.
name	NN	name
.	SENT	.
Nomi	NP	nomi
.	SENT	.
off	IN	off
.	SENT	.
attached	VVN	attach
.	SENT	.
arm	NN	arm
.	SENT	.
open	JJ	open
.	SENT	.
wet	JJ	wet
.	SENT	.
open	JJ	open
.	SENT	.
fall	NN	fall
down	RB	down
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
get	VV	get
up	VV	up
.	SENT	.
get	VV	get
up	VV	up
.	SENT	.
get	VV	get
duck	NN	duck
.	SENT	.
duck	NN	duck
.	SENT	.
doggie	JJ	doggie
.	SENT	.
duck	NN	duck
.	SENT	.
birdie	NN	birdie
.	SENT	.
duck	NN	duck
.	SENT	.
down	RB	down
.	SENT	.
down	RB	down
.	SENT	.
hat	NN	hat
.	SENT	.
boom	NN	boom
.	SENT	.
hat	NN	hat
.	SENT	.
hat	NN	hat
.	SENT	.
hat	NN	hat
.	SENT	.
hat	NN	hat
.	SENT	.
fall	NN	fall
down	RB	down
.	SENT	.
toys	NNS	toy
.	SENT	.
bed	NN	bed
.	SENT	.
fall	NN	fall
down	RB	down
.	SENT	.
mm	NN	mm
.	SENT	.
mm	NN	mm
.	SENT	.
stick	VV	stick
.	SENT	.
in	IN	in
.	SENT	.
fall	NN	fall
down	RB	down
.	SENT	.
achoo	NN	achoo
.	SENT	.
sit	VV	sit
down	RB	down
.	SENT	.
pants	NNS	pant
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
tights	NNS	<unknown>
.	SENT	.
no	DT	no
.	SENT	.
my	PP$	my
tights	NNS	<unknown>
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
tights	NNS	<unknown>
.	SENT	.
my	PP$	my
shirt	NN	shirt
.	SENT	.
my	PP$	my
shirt	NN	shirt
.	SENT	.
no	DT	no
.	SENT	.
get	VV	get
up	VV	up
.	SENT	.
get	VV	get
up	VV	up
.	SENT	.
get	VV	get
up	VV	up
.	SENT	.
get	VV	get
up	IN	up
.	SENT	.
read	NN	read
.	SENT	.
Nomi	NP	nomi
.	SENT	.
Nomi	NP	nomi
.	SENT	.
Nomi	NP	nomi
.	SENT	.
Nomi	NP	nomi
.	SENT	.
Nomi	NP	nomi
talk	VV	talk
.	SENT	.
microphone	NN	microphone
.	SENT	.
push	VV	push
.	SENT	.
broken	VVN	break
.	SENT	.
broken	VVN	break
ha	UH	ha
.	SENT	.
broken	VVN	break
haha	NN	haha
.	SENT	.
